student_id,course,status,term,grade_received
S00001,Algebra I,completed,spring_previous,C
S00001,English I,failed_or_missing,spring_previous,F
S00001,Biology,completed,fall_previous,B
S00001,Geometry,completed,fall_previous,B
S00001,English II,completed,fall_previous,D
S00001,World History,completed,spring_previous,B
S00001,Algebra II,completed,spring_previous,A
S00001,English III,completed,fall_previous,D
S00001,Chemistry,completed,fall_previous,D
S00001,U.S. History,completed,spring_previous,A
S00003,Algebra I,completed,spring_previous,D
S00003,English I,completed,fall_previous,B
S00003,Biology,completed,fall_previous,D
S00003,Geometry,failed_or_missing,fall_previous,F
S00003,English II,completed,summer_previous,C
S00003,World History,completed,spring_previous,C
S00005,Algebra I,completed,spring_previous,A
S00005,English I,completed,fall_previous,A
S00005,Biology,completed,summer_previous,C
S00005,Geometry,completed,summer_previous,D
S00005,English II,completed,summer_previous,B
S00005,World History,completed,summer_previous,B
S00005,Algebra II,completed,spring_previous,D
S00005,English III,completed,fall_previous,B
S00005,Chemistry,completed,fall_previous,C
S00005,U.S. History,completed,fall_previous,B
S00006,Algebra I,completed,summer_previous,B
S00006,English I,completed,summer_previous,B
S00006,Biology,completed,fall_previous,A
S00008,Algebra I,completed,summer_previous,D
S00008,English I,completed,summer_previous,A
S00008,Biology,completed,fall_previous,B
S00008,Geometry,completed,fall_previous,C
S00008,English II,completed,fall_previous,A
S00008,World History,completed,spring_previous,B
S00009,Algebra I,completed,spring_previous,B
S00009,English I,completed,spring_previous,B
S00009,Biology,failed_or_missing,spring_previous,F
S00009,Geometry,completed,fall_previous,A
S00009,English II,completed,fall_previous,A
S00009,World History,completed,summer_previous,B
S00009,Algebra II,completed,fall_previous,C
S00009,English III,completed,summer_previous,C
S00009,Chemistry,completed,fall_previous,B
S00009,U.S. History,completed,summer_previous,C
S00010,Algebra I,failed_or_missing,spring_previous,F
S00010,English I,failed_or_missing,spring_previous,F
S00010,Biology,completed,fall_previous,D
S00012,Algebra I,completed,summer_previous,D
S00012,English I,completed,spring_previous,B
S00012,Biology,completed,fall_previous,A
S00012,Geometry,failed_or_missing,spring_previous,F
S00012,English II,completed,spring_previous,C
S00012,World History,completed,summer_previous,D
S00014,Algebra I,completed,summer_previous,A
S00014,English I,completed,spring_previous,D
S00014,Biology,completed,fall_previous,B
S00014,Geometry,completed,spring_previous,B
S00014,English II,completed,fall_previous,D
S00014,World History,completed,spring_previous,B
S00015,Algebra I,completed,fall_previous,A
S00015,English I,completed,summer_previous,A
S00015,Biology,completed,spring_previous,C
S00015,Geometry,completed,summer_previous,C
S00015,English II,completed,spring_previous,B
S00015,World History,completed,fall_previous,C
S00015,Algebra II,completed,summer_previous,C
S00015,English III,completed,fall_previous,B
S00015,Chemistry,completed,summer_previous,C
S00015,U.S. History,completed,spring_previous,D
S00016,Algebra I,completed,fall_previous,D
S00016,English I,failed_or_missing,spring_previous,F
S00016,Biology,failed_or_missing,spring_previous,F
S00017,Algebra I,completed,spring_previous,C
S00017,English I,completed,summer_previous,B
S00017,Biology,completed,summer_previous,C
S00018,Algebra I,completed,fall_previous,D
S00018,English I,completed,fall_previous,C
S00018,Biology,completed,spring_previous,D
S00018,Geometry,completed,spring_previous,D
S00018,English II,completed,spring_previous,B
S00018,World History,completed,summer_previous,A
S00018,Algebra II,completed,spring_previous,B
S00018,English III,completed,fall_previous,A
S00018,Chemistry,completed,spring_previous,C
S00018,U.S. History,completed,summer_previous,B
S00019,Algebra I,completed,fall_previous,D
S00019,English I,completed,fall_previous,D
S00019,Biology,completed,summer_previous,C
S00020,Algebra I,completed,spring_previous,C
S00020,English I,completed,fall_previous,B
S00020,Biology,completed,spring_previous,B
S00021,Algebra I,failed_or_missing,fall_previous,F
S00021,English I,completed,spring_previous,B
S00021,Biology,completed,spring_previous,D
S00021,Geometry,completed,fall_previous,C
S00021,English II,failed_or_missing,fall_previous,F
S00021,World History,completed,spring_previous,D
S00021,Algebra II,completed,spring_previous,D
S00021,English III,completed,fall_previous,D
S00021,Chemistry,completed,spring_previous,D
S00021,U.S. History,completed,fall_previous,A
S00022,Algebra I,completed,summer_previous,C
S00022,English I,completed,fall_previous,A
S00022,Biology,completed,spring_previous,D
S00022,Geometry,completed,spring_previous,D
S00022,English II,failed_or_missing,fall_previous,F
S00022,World History,completed,spring_previous,B
S00022,Algebra II,completed,fall_previous,A
S00022,English III,failed_or_missing,spring_previous,F
S00022,Chemistry,failed_or_missing,spring_previous,F
S00022,U.S. History,completed,fall_previous,B
S00023,Algebra I,completed,fall_previous,B
S00023,English I,completed,summer_previous,A
S00023,Biology,completed,summer_previous,D
S00023,Geometry,completed,spring_previous,A
S00023,English II,failed_or_missing,spring_previous,F
S00023,World History,completed,spring_previous,D
S00023,Algebra II,completed,summer_previous,B
S00023,English III,completed,spring_previous,A
S00023,Chemistry,completed,summer_previous,B
S00023,U.S. History,completed,fall_previous,D
S00024,Algebra I,completed,spring_previous,C
S00024,English I,completed,spring_previous,B
S00024,Biology,completed,summer_previous,D
S00025,Algebra I,completed,summer_previous,C
S00025,English I,completed,fall_previous,C
S00025,Biology,completed,fall_previous,A
S00025,Geometry,failed_or_missing,spring_previous,F
S00025,English II,completed,spring_previous,C
S00025,World History,completed,spring_previous,B
S00025,Algebra II,completed,fall_previous,C
S00025,English III,completed,fall_previous,D
S00025,Chemistry,completed,fall_previous,C
S00025,U.S. History,completed,fall_previous,C
S00027,Algebra I,completed,spring_previous,C
