room_id,room_name,capacity
R0001,Room_0001,30
R0002,Room_0002,24
R0003,Room_0003,32
R0004,Room_0004,35
R0005,Room_0005,24
R0006,Room_0006,30
R0007,Room_0007,30
R0008,Room_0008,35
R0009,Room_0009,35
R0010,Room_0010,28
R0011,Room_0011,28
R0012,Room_0012,24
R0013,Room_0013,28
R0014,Room_0014,28
R0015,Room_0015,30
R0016,Room_0016,28
R0017,Room_0017,30
R0018,Room_0018,30
R0019,Room_0019,30
R0020,Room_0020,30
R0021,Room_0021,30
R0022,Room_0022,24
R0023,Room_0023,24
R0024,Room_0024,28
R0025,Room_0025,24
R0026,Room_0026,32
R0027,Room_0027,24
R0028,Room_0028,32
R0029,Room_0029,32
R0030,Room_0030,28
R0031,Room_0031,30
R0032,Room_0032,24
R0033,Room_0033,30
R0034,Room_0034,28
R0035,Room_0035,28
R0036,Room_0036,24
R0037,Room_0037,24
R0038,Room_0038,30
R0039,Room_0039,28
R0040,Room_0040,35
R0041,Room_0041,35
R0042,Room_0042,30
R0043,Room_0043,32
R0044,Room_0044,32
R0045,Room_0045,32
R0046,Room_0046,24
R0047,Room_0047,30
R0048,Room_0048,35
R0049,Room_0049,24
R0050,Room_0050,24
R0051,Room_0051,32
R0052,Room_0052,30
R0053,Room_0053,35
R0054,Room_0054,35
R0055,Room_0055,35
R0056,Room_0056,28
R0057,Room_0057,35
R0058,Room_0058,30
R0059,Room_0059,30
R0060,Room_0060,35
R0061,Room_0061,28
R0062,Room_0062,28
R0063,Room_0063,24
R0064,Room_0064,30
R0065,Room_0065,28
R0066,Room_0066,30
R0067,Room_0067,32
R0068,Room_0068,24
R0069,Room_0069,28
R0070,Room_0070,35
R0071,Room_0071,28
R0072,Room_0072,28
R0073,Room_0073,30
R0074,Room_0074,35
R0075,Room_0075,30
R0076,Room_0076,35
R0077,Room_0077,30
R0078,Room_0078,32
R0079,Room_0079,35
R0080,Room_0080,28
R0081,Room_0081,35
R0082,Room_0082,35
R0083,Room_0083,28
R0084,Room_0084,24
R0085,Room_0085,28
R0086,Room_0086,30
R0087,Room_0087,32
R0088,Room_0088,35
R0089,Room_0089,24
R0090,Room_0090,32
R0091,Room_0091,28
R0092,Room_0092,30
R0093,Room_0093,28
R0094,Room_0094,35
R0095,Room_0095,28
R0096,Room_0096,24
R0097,Room_0097,24
R0098,Room_0098,32
R0099,Room_0099,30
R0100,Room_0100,32
R0101,Room_0101,30
R0102,Room_0102,28
R0103,Room_0103,30
R0104,Room_0104,30
R0105,Room_0105,30
R0106,Room_0106,24
R0107,Room_0107,32
R0108,Room_0108,28
R0109,Room_0109,24
R0110,Room_0110,32
R0111,Room_0111,28
R0112,Room_0112,24
R0113,Room_0113,35
R0114,Room_0114,28
R0115,Room_0115,32
R0116,Room_0116,24
R0117,Room_0117,32
R0118,Room_0118,35
R0119,Room_0119,35
R0120,Room_0120,35
R0121,Room_0121,32
R0122,Room_0122,24
R0123,Room_0123,30
R0124,Room_0124,30
R0125,Room_0125,24
R0126,Room_0126,35
R0127,Room_0127,32
R0128,Room_0128,24
R0129,Room_0129,32
R0130,Room_0130,32
R0131,Room_0131,24
R0132,Room_0132,30
R0133,Room_0133,35
R0134,Room_0134,28
R0135,Room_0135,35
R0136,Room_0136,35
R0137,Room_0137,28
R0138,Room_0138,32
R0139,Room_0139,28
R0140,Room_0140,24
R0141,Room_0141,24
R0142,Room_0142,24
R0143,Room_0143,30
R0144,Room_0144,24
R0145,Room_0145,32
R0146,Room_0146,35
R0147,Room_0147,32
R0148,Room_0148,30
R0149,Room_0149,35
R0150,Room_0150,28
R0151,Room_0151,24
R0152,Room_0152,32
R0153,Room_0153,28
R0154,Room_0154,30
R0155,Room_0155,28
R0156,Room_0156,28
R0157,Room_0157,30
R0158,Room_0158,32
R0159,Room_0159,35
R0160,Room_0160,30
R0161,Room_0161,28
R0162,Room_0162,28
R0163,Room_0163,30
R0164,Room_0164,32
R0165,Room_0165,28
R0166,Room_0166,35
R0167,Room_0167,28
R0168,Room_0168,24
R0169,Room_0169,35
R0170,Room_0170,35
R0171,Room_0171,24
R0172,Room_0172,28
R0173,Room_0173,24
R0174,Room_0174,30
R0175,Room_0175,32
R0176,Room_0176,28
R0177,Room_0177,32
R0178,Room_0178,32
R0179,Room_0179,32
R0180,Room_0180,30
R0181,Room_0181,24
R0182,Room_0182,24
R0183,Room_0183,32
R0184,Room_0184,28
R0185,Room_0185,35
