section_id,course,teacher_id,teacher_name,room_id,room_name,room_capacity,period,target_grade
SEC00001,Algebra I,T0079,Teacher_0079,R0162,Room_0162,28,1,10
SEC00002,Algebra I,T0079,Teacher_0079,R0059,Room_0059,30,1,11
SEC00003,Algebra I,T0176,Teacher_0176,R0174,Room_0174,30,4,11
SEC00004,Algebra I,T0176,Teacher_0176,R0023,Room_0023,24,4,11
SEC00005,Algebra I,T0158,Teacher_0158,R0005,Room_0005,24,3,12
SEC00006,Algebra I,T0158,Teacher_0158,R0013,Room_0013,28,3,12
SEC00007,Algebra I,T0232,Teacher_0232,R0024,Room_0024,28,7,9
SEC00008,Algebra I,T0232,Teacher_0232,R0051,Room_0051,32,7,11
SEC00009,Algebra I,T0091,Teacher_0091,R0081,Room_0081,35,6,9
SEC00010,Algebra I,T0091,Teacher_0091,R0034,Room_0034,28,6,10
SEC00011,Algebra I,T0149,Teacher_0149,R0162,Room_0162,28,3,9
SEC00012,Algebra I,T0149,Teacher_0149,R0166,Room_0166,35,3,9
SEC00013,Algebra I,T0026,Teacher_0026,R0155,Room_0155,28,6,11
SEC00014,Algebra I,T0026,Teacher_0026,R0042,Room_0042,30,6,10
SEC00015,Algebra I,T0258,Teacher_0258,R0132,Room_0132,30,3,10
SEC00016,Algebra I,T0258,Teacher_0258,R0131,Room_0131,24,3,12
SEC00017,Algebra I,T0091,Teacher_0091,R0084,Room_0084,24,1,11
SEC00018,Algebra I,T0091,Teacher_0091,R0033,Room_0033,30,1,12
SEC00019,Geometry,T0105,Teacher_0105,R0111,Room_0111,28,6,9
SEC00020,Geometry,T0105,Teacher_0105,R0031,Room_0031,30,6,12
SEC00021,Geometry,T0230,Teacher_0230,R0028,Room_0028,32,8,10
SEC00022,Geometry,T0235,Teacher_0235,R0057,Room_0057,35,6,12
SEC00023,Geometry,T0063,Teacher_0063,R0032,Room_0032,24,6,12
SEC00024,Geometry,T0177,Teacher_0177,R0012,Room_0012,24,4,10
SEC00025,Geometry,T0002,Teacher_0002,R0061,Room_0061,28,8,9
SEC00026,Geometry,T0221,Teacher_0221,R0118,Room_0118,35,2,10
SEC00027,Geometry,T0024,Teacher_0024,R0094,Room_0094,35,2,9
SEC00028,Algebra II,T0143,Teacher_0143,R0052,Room_0052,30,4,12
SEC00029,Algebra II,T0061,Teacher_0061,R0019,Room_0019,30,7,9
SEC00030,Algebra II,T0190,Teacher_0190,R0091,Room_0091,28,2,11
SEC00031,Algebra II,T0050,Teacher_0050,R0073,Room_0073,30,7,12
SEC00032,Algebra II,T0137,Teacher_0137,R0156,Room_0156,28,4,12
SEC00033,Algebra II,T0244,Teacher_0244,R0141,Room_0141,24,6,9
SEC00034,Algebra II,T0182,Teacher_0182,R0160,Room_0160,30,4,9
SEC00035,Algebra II,T0072,Teacher_0072,R0165,Room_0165,28,3,9
SEC00036,Algebra II,T0150,Teacher_0150,R0093,Room_0093,28,2,11
SEC00037,Algebra II,T0171,Teacher_0171,R0087,Room_0087,32,6,11
SEC00038,Algebra II,T0136,Teacher_0136,R0035,Room_0035,28,7,10
SEC00039,Algebra II,T0028,Teacher_0028,R0148,Room_0148,30,8,10
SEC00040,Algebra II,T0017,Teacher_0017,R0041,Room_0041,35,5,9
SEC00041,Algebra II,T0066,Teacher_0066,R0031,Room_0031,30,8,10
SEC00042,Algebra II,T0220,Teacher_0220,R0031,Room_0031,24,8,11
SEC00043,Algebra II,T0044,Teacher_0044,R0099,Room_0099,30,6,12
SEC00044,Algebra II,T0164,Teacher_0164,R0099,Room_0099,30,6,11
SEC00045,Algebra II,T0182,Teacher_0182,R0147,Room_0147,32,1,10
SEC00046,Precalculus,T0194,Teacher_0194,R0147,Room_0147,28,1,10
SEC00047,Precalculus,T0140,Teacher_0140,R0048,Room_0048,35,7,12
SEC00048,Precalculus,T0041,Teacher_0041,R0048,Room_0048,30,7,9
SEC00049,Precalculus,T0200,Teacher_0200,R0029,Room_0029,32,6,11
SEC00050,Precalculus,T0058,Teacher_0058,R0029,Room_0029,24,6,10
SEC00051,Precalculus,T0027,Teacher_0027,R0073,Room_0073,30,5,10
SEC00052,Precalculus,T0132,Teacher_0132,R0073,Room_0073,28,5,12
SEC00053,Precalculus,T0057,Teacher_0057,R0157,Room_0157,30,2,12
SEC00054,Precalculus,T0026,Teacher_0026,R0157,Room_0157,32,2,9
SEC00055,Precalculus,T0169,Teacher_0169,R0141,Room_0141,24,2,9
SEC00056,Precalculus,T0129,Teacher_0129,R0141,Room_0141,35,2,10
SEC00057,Calculus,T0214,Teacher_0214,R0080,Room_0080,28,7,10
SEC00058,Calculus,T0131,Teacher_0131,R0080,Room_0080,32,7,12
SEC00059,Calculus,T0219,Teacher_0219,R0151,Room_0151,24,3,9
SEC00060,Calculus,T0214,Teacher_0214,R0151,Room_0151,30,3,10
SEC00061,Calculus,T0096,Teacher_0096,R0062,Room_0062,28,3,12
SEC00062,Calculus,T0193,Teacher_0193,R0062,Room_0062,32,3,11
SEC00063,Calculus,T0124,Teacher_0124,R0176,Room_0176,28,8,10
SEC00064,Calculus,T0223,Teacher_0223,R0176,Room_0176,30,8,10
SEC00065,Calculus,T0043,Teacher_0043,R0012,Room_0012,24,6,9
SEC00066,Calculus,T0042,Teacher_0042,R0012,Room_0012,32,6,12
SEC00067,Calculus,T0128,Teacher_0128,R0121,Room_0121,32,7,10
SEC00068,Calculus,T0145,Teacher_0145,R0121,Room_0121,32,7,11
SEC00069,Calculus,T0254,Teacher_0254,R0053,Room_0053,35,2,11
SEC00070,Calculus,T0128,Teacher_0128,R0053,Room_0053,30,2,11
SEC00071,Calculus,T0231,Teacher_0231,R0180,Room_0180,30,7,12
SEC00072,Calculus,T0051,Teacher_0051,R0054,Room_0054,35,1,9
SEC00073,Calculus,T0195,Teacher_0195,R0015,Room_0015,30,2,9
SEC00074,Calculus,T0002,Teacher_0002,R0048,Room_0048,35,4,12
SEC00075,Biology,T0140,Teacher_0140,R0124,Room_0124,30,1,9
SEC00076,Biology,T0172,Teacher_0172,R0058,Room_0058,30,5,9
SEC00077,Biology,T0060,Teacher_0060,R0020,Room_0020,30,1,9
SEC00078,Biology,T0078,Teacher_0078,R0104,Room_0104,30,8,11
SEC00079,Biology,T0237,Teacher_0237,R0131,Room_0131,24,5,11
SEC00080,Biology,T0143,Teacher_0143,R0093,Room_0093,28,1,12
SEC00081,Biology,T0249,Teacher_0249,R0003,Room_0003,32,4,12
SEC00082,Biology,T0177,Teacher_0177,R0099,Room_0099,30,3,10
SEC00083,Chemistry,T0202,Teacher_0202,R0054,Room_0054,35,4,11
SEC00084,Chemistry,T0158,Teacher_0158,R0033,Room_0033,30,3,12
SEC00085,Chemistry,T0143,Teacher_0143,R0025,Room_0025,24,3,9
SEC00086,Chemistry,T0091,Teacher_0091,R0131,Room_0131,24,6,12
SEC00087,Chemistry,T0005,Teacher_0005,R0043,Room_0043,32,2,10
SEC00088,Chemistry,T0073,Teacher_0073,R0085,Room_0085,28,7,9
SEC00089,Chemistry,T0075,Teacher_0075,R0158,Room_0158,32,7,12
SEC00090,Chemistry,T0212,Teacher_0212,R0041,Room_0041,35,8,12
SEC00091,Chemistry,T0103,Teacher_0103,R0140,Room_0140,24,4,9
SEC00092,Chemistry,T0190,Teacher_0190,R0006,Room_0006,30,7,12
