student_id,grade
S00001,12
S00002,9
S00003,11
S00004,9
S00005,12
S00006,10
S00007,9
S00008,11
S00009,12
S00010,10
S00011,9
S00012,11
S00013,9
S00014,11
S00015,12
S00016,10
S00017,10
S00018,12
S00019,10
S00020,10
S00021,12
S00022,12
S00023,12
S00024,10
S00025,12
S00026,9
S00027,12
S00028,12
S00029,11
S00030,10
S00031,9
S00032,11
S00033,10
S00034,12
S00035,12
S00036,11
S00037,9
S00038,9
S00039,11
S00040,10
S00041,9
S00042,10
S00043,9
S00044,9
S00045,12
S00046,9
S00047,11
S00048,9
S00049,10
S00050,10
S00051,11
S00052,10
S00053,11
S00054,9
S00055,12
S00056,12
S00057,12
S00058,12
S00059,10
S00060,11
S00061,11
S00062,12
S00063,10
S00064,9
S00065,9
S00066,10
S00067,10
S00068,10
S00069,12
S00070,11
S00071,12
S00072,10
S00073,10
S00074,12
S00075,9
S00076,12
S00077,10
S00078,9
S00079,12
S00080,10
S00081,12
S00082,12
S00083,10
S00084,11
S00085,10
S00086,9
S00087,10
S00088,12
S00089,11
S00090,10
S00091,9
S00092,9
S00093,12
S00094,12
S00095,11
S00096,9
S00097,9
S00098,12
S00099,9
S00100,12
S00101,10
S00102,12
S00103,9
S00104,9
S00105,9
S00106,9
S00107,11
S00108,9
S00109,12
S00110,12
S00111,10
S00112,10
S00113,11
S00114,9
S00115,10
S00116,12
S00117,11
S00118,9
S00119,10
S00120,10
S00121,10
S00122,12
S00123,9
S00124,9
S00125,11
S00126,10
S00127,11
S00128,11
S00129,11
S00130,12
S00131,9
S00132,11
S00133,12
S00134,9
S00135,11
S00136,11
S00137,11
S00138,11
S00139,11
S00140,11
S00141,12
S00142,11
S00143,9
S00144,12
S00145,10
S00146,9
S00147,9
S00148,10
S00149,12
S00150,9
S00151,12
S00152,12
S00153,11
S00154,10
S00155,9
S00156,9
S00157,12
S00158,11
S00159,10
S00160,10
S00161,9
S00162,10
S00163,12
S00164,10
S00165,11
S00166,9
S00167,11
S00168,11
S00169,11
S00170,10
S00171,11
S00172,12
S00173,9
S00174,11
S00175,12
S00176,10
S00177,12
S00178,10
S00179,12
S00180,11
S00181,11
S00182,12
S00183,12
S00184,12
S00185,10
S00186,9
S00187,12
S00188,10
S00189,9
S00190,10
S00191,12
S00192,12
S00193,10
S00194,9
S00195,11
S00196,10
S00197,12
S00198,10
S00199,9
S00200,11
S00201,10
S00202,11
S00203,11
S00204,12
S00205,11
S00206,9
S00207,12
S00208,10
S00209,12
S00210,11
S00211,12
S00212,9
S00213,12
S00214,10
S00215,12
S00216,10
S00217,12
S00218,10
S00219,9
S00220,11
S00221,11
S00222,9
S00223,10
S00224,10
S00225,9
S00226,10
S00227,12
S00228,10
S00229,10
S00230,11
S00231,12
S00232,12
S00233,12
S00234,9
S00235,12
S00236,12
S00237,11
S00238,10
S00239,12
S00240,11
S00241,12
S00242,10
S00243,9
S00244,9
S00245,9
S00246,11
S00247,9
S00248,9
S00249,10
S00250,12
S00251,10
S00252,9
S00253,10
S00254,10
S00255,10
S00256,11
S00257,11
S00258,12
S00259,12
S00260,12
S00261,12
S00262,12
S00263,11
S00264,9
S00265,11
S00266,11
S00267,10
S00268,11
S00269,11
S00270,11
S00271,10
S00272,11
S00273,9
S00274,11
S00275,9
S00276,12
S00277,9
S00278,11
S00279,12
S00280,11
S00281,9
S00282,9
S00283,12
S00284,11
S00285,12
S00286,10
S00287,11
S00288,12
S00289,12
S00290,12
S00291,10
S00292,10
S00293,11
S00294,9
S00295,10
S00296,12
S00297,12
S00298,11
S00299,9
S00300,10
S00301,11
S00302,12
S00303,11
S00304,10
S00305,10
S00306,11
S00307,9
S00308,10
S00309,11
S00310,10
S00311,11
S00312,12
S00313,11
S00314,9
S00315,9
S00316,12
S00317,10
S00318,9
S00319,12
S00320,9
S00321,10
S00322,10
S00323,10
S00324,11
S00325,12
S00326,11
S00327,10
S00328,10
S00329,10
S00330,12
S00331,10
S00332,10
S00333,9
S00334,9
S00335,12
S00336,10
S00337,10
S00338,12
S00339,10
S00340,11
S00341,12
S00342,11
S00343,12
S00344,10
S00345,10
S00346,10
S00347,9
S00348,12
S00349,11
S00350,12
S00351,11
S00352,9
S00353,11
S00354,11
S00355,11
S00356,9
S00357,10
S00358,10
S00359,11
S00360,12
S00361,12
S00362,12
S00363,11
S00364,12
S00365,12
S00366,11
S00367,12
S00368,9
S00369,10
S00370,12
S00371,10
S00372,11
S00373,12
S00374,10
S00375,10
S00376,10
S00377,11
S00378,11
S00379,10
S00380,10
S00381,10
S00382,11
S00383,11
S00384,11
S00385,12
S00386,12
S00387,12
S00388,11
S00389,12
S00390,12
S00391,11
S00392,11
S00393,10
S00394,11
S00395,11
S00396,12
S00397,9
S00398,12
S00399,12
S00400,11
S00401,12
S00402,12
S00403,9
S00404,9
S00405,11
S00406,11
S00407,9
S00408,9
S00409,12
S00410,10
S00411,10
S00412,9
S00413,10
S00414,9
S00415,10
S00416,11
S00417,12
S00418,9
S00419,12
S00420,9
S00421,10
S00422,12
S00423,12
S00424,9
S00425,9
S00426,10
S00427,12
S00428,9
S00429,10
S00430,10
S00431,9
S00432,12
S00433,9
S00434,9
S00435,11
S00436,11
S00437,10
S00438,11
S00439,12
S00440,10
S00441,12
S00442,11
S00443,10
S00444,12
S00445,11
S00446,11
S00447,11
S00448,9
S00449,9
S00450,10
S00451,11
S00452,9
S00453,9
S00454,9
S00455,11
S00456,12
S00457,10
S00458,11
S00459,9
S00460,11
S00461,12
S00462,9
S00463,11
S00464,12
S00465,12
S00466,12
S00467,9
S00468,9
S00469,11
S00470,12
S00471,12
S00472,9
S00473,10
S00474,10
S00475,9
S00476,10
S00477,12
S00478,12
S00479,9
S00480,11
S00481,10
S00482,9
S00483,11
S00484,10
S00485,9
S00486,12
S00487,12
S00488,9
S00489,10
S00490,10
S00491,11
S00492,9
S00493,10
S00494,9
S00495,11
S00496,12
S00497,12
S00498,10
S00499,12
S00500,12
S00501,9
S00502,9
S00503,10
S00504,12
S00505,9
S00506,11
S00507,12
S00508,9
S00509,9
S00510,11
S00511,10
S00512,12
S00513,9
S00514,11
S00515,9
S00516,9
S00517,12
S00518,11
S00519,9
S00520,10
S00521,11
S00522,10
S00523,11
S00524,10
S00525,11
S00526,10
S00527,9
S00528,11
S00529,12
S00530,12
S00531,11
S00532,11
S00533,9
S00534,9
S00535,10
S00536,10
S00537,9
S00538,10
S00539,9
S00540,9
S00541,10
S00542,9
S00543,10
S00544,12
S00545,12
S00546,9
S00547,10
S00548,12
