student_id,course,violation_type,required_prerequisite,may_take_concurrently,summer_only,notes
S00001,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00002,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00002,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00002,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00002,English II,missing_prerequisite,English I,no,no,English sequence must be in order.
S00003,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00004,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00004,Geometry,missing_prerequisite,Algebra I,no,no,Cannot take Geometry before Algebra I.
S00006,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00006,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00007,Chemistry,missing_prerequisite,Biology,no,no,Chemistry follows Biology.
S00007,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00008,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00008,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00009,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00009,Spanish II,missing_prerequisite,Spanish I,no,no,Language sequence must be in order.
S00010,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00010,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00010,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00011,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00012,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00012,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00013,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00013,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00014,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00014,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00014,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00015,Calculus,missing_prerequisite,Precalculus,no,no,Cannot take Calculus before Precalculus.
S00016,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00016,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00016,English II,missing_prerequisite,English I,no,no,English sequence must be in order.
S00017,Algebra II,missing_prerequisite,Geometry,no,no,Cannot take Algebra II before Geometry.
S00017,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00017,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
S00019,Precalculus,missing_prerequisite,Algebra II,no,no,Cannot take Precalculus before Algebra II.
S00019,English III,missing_prerequisite,English II,no,no,English sequence must be in order.
S00019,English IV,missing_prerequisite,English III,no,no,English sequence must be in order.
S00019,Physics,missing_prerequisite,Chemistry,no,no,Physics follows Chemistry.
